,Compound,Date,Message,Negative,Neutral,Positive,Tweets Ago,User
65,-0.7717,Fri Sep 07 04:14:16 +0000 2018,Fears grow for Japan quake survivors as death toll rises https://t.co/oCTxV8aExF,0.573,0.427,0.0,66,@BBCWorld
66,-0.7096,Fri Sep 07 03:49:30 +0000 2018,Syria war: US 'has seen evidence' chemical weapons being prepared https://t.co/3EWWAnVgia,0.479,0.407,0.114,67,@BBCWorld
67,-0.875,Fri Sep 07 03:35:59 +0000 2018,Cheryl Grimmer: Man denies murder of toddler in 48-year mystery https://t.co/YCPD8rfYnF,0.444,0.556,0.0,68,@BBCWorld
68,0.128,Fri Sep 07 02:30:29 +0000 2018,"""It isn't the law, what we still fear is people's perception.""

As India celebrates its historic gay rights ruling,… https://t.co/3H5wfHop4h",0.723,0.129,0.149,69,@BBCWorld
69,0.0,Fri Sep 07 02:18:26 +0000 2018,Isle of Man wallaby-related police call-outs revealed https://t.co/Ih1dJoJLjw,1.0,0.0,0.0,70,@BBCWorld
70,0.4404,Thu Sep 06 23:58:33 +0000 2018,Japan's push to resume whaling for profit https://t.co/M1qZo4SJIo,0.707,0.0,0.293,71,@BBCWorld
71,0.3182,Thu Sep 06 23:55:41 +0000 2018,100 Women: The truth behind the 'bra-burning' feminists https://t.co/ZMChY9dAAQ,0.777,0.0,0.223,72,@BBCWorld
72,0.0,Thu Sep 06 21:53:05 +0000 2018,What it means to be gay in rural India https://t.co/FySFtRzlZ8,1.0,0.0,0.0,73,@BBCWorld
73,-0.8225,Thu Sep 06 20:59:22 +0000 2018,RT @BBCBreaking: Twitter permanently bans US conspiracy theorist Alex Jones and Infowars for abusive behaviour https://t.co/6hp5VIIf7F,0.648,0.352,0.0,74,@BBCWorld
74,-0.2263,Thu Sep 06 20:25:03 +0000 2018,Basra protests: Government buildings torched in new unrest https://t.co/hZuMsuYJxJ,0.808,0.192,0.0,75,@BBCWorld
75,-0.4404,Thu Sep 06 20:14:04 +0000 2018,Brazil politician Jair Bolsonaro stabbed in street https://t.co/SA0SPVICze,0.707,0.293,0.0,76,@BBCWorld
76,0.0,Thu Sep 06 19:59:06 +0000 2018,The Whodunnit editorial puzzling Washington https://t.co/BWZSqZ2y08,1.0,0.0,0.0,77,@BBCWorld
77,-0.7003,Thu Sep 06 19:44:20 +0000 2018,Novichok attack: Russia scorn for UK's 'cheap soap opera' https://t.co/mAQV0Qc56o,0.58,0.42,0.0,78,@BBCWorld
78,0.4019,Thu Sep 06 19:28:46 +0000 2018,"RT @BBCBreaking: Obituary: Burt Reynolds - full of charm &amp; swagger, he became one of Hollywood's best-known stars

https://t.co/d1LpTUiG6o…",0.863,0.0,0.137,79,@BBCWorld
79,0.0,Thu Sep 06 19:06:31 +0000 2018,"RT @BBCBreaking: Burt Reynolds dies, aged 82 - he starred in a string of hits in the 1970s, including Smokey and the Bandit &amp; Deliverance h…",1.0,0.0,0.0,80,@BBCWorld
80,0.0,Thu Sep 06 18:16:03 +0000 2018,Dancer sues New York City Ballet over nude photos https://t.co/Kw3bEWr7Bi,1.0,0.0,0.0,81,@BBCWorld
81,-0.6997,Thu Sep 06 17:36:36 +0000 2018,"RT @BBCNews: Salisbury poisoning: US, France, Germany and Canada back UK claim attack ""almost certainly"" ordered by Russian government http…",0.654,0.265,0.081,82,@BBCWorld
82,-0.5267,Thu Sep 06 17:18:07 +0000 2018,Ohio officer who Tasered girl 'violated department policy' https://t.co/p7ObehbIJB,0.702,0.298,0.0,83,@BBCWorld
83,-0.5423,Thu Sep 06 17:04:33 +0000 2018,"RT @BBCNews: Salisbury poisoning: ""The number of inconsistencies and issues with the new British so-called evidence is off the charts"" - Ru…",0.788,0.158,0.054,84,@BBCWorld
84,0.0772,Thu Sep 06 16:56:41 +0000 2018,"US 2018 mid-terms: The challenges facing Donald Trump, in six charts

Thread 👇 https://t.co/9w3jQ6xDY3 https://t.co/9ttN8WGywg",0.929,0.0,0.071,85,@BBCWorld
85,0.4939,Thu Sep 06 16:49:19 +0000 2018,Brett Kavanaugh: Supreme Court pick 'questioned abortion ruling' https://t.co/dTtENBpOlQ,0.583,0.117,0.3,86,@BBCWorld
86,0.0,Thu Sep 06 16:37:08 +0000 2018,India gay sex ruling: Where in the world is gay sex still against the law? https://t.co/sncqtqAW41,1.0,0.0,0.0,87,@BBCWorld
87,-0.4939,Thu Sep 06 16:34:18 +0000 2018,Genoa bridge collapse: Italian prosecutors investigate 20 people https://t.co/1Fs6qP0SZX,0.714,0.286,0.0,88,@BBCWorld
88,-0.765,Thu Sep 06 15:50:13 +0000 2018,Anger as Italy arrests Tunisian fishermen 'rescuing migrants' https://t.co/bz1fL1U8o1,0.515,0.485,0.0,89,@BBCWorld
89,0.0,Thu Sep 06 14:59:35 +0000 2018,NYT Trump column: Linguistic hunt to identify White House insider https://t.co/X6y9cEar0j,1.0,0.0,0.0,90,@BBCWorld
90,0.0,Thu Sep 06 14:54:23 +0000 2018,Egyptian 'harasser' stripped by crowd https://t.co/cL5s9D2dSj,1.0,0.0,0.0,91,@BBCWorld
91,0.3818,Thu Sep 06 14:48:26 +0000 2018,"RT @BBCNews: ""Bad"" photoshop puts Frank Lampard in a picture to promote a new New York park

https://t.co/Ct0DuIki5T https://t.co/T3DhPFWmcy",0.86,0.0,0.14,92,@BBCWorld
92,-0.765,Thu Sep 06 14:25:18 +0000 2018,Boston police captain's son jailed for IS terror plot https://t.co/glZbYtmJs5,0.548,0.452,0.0,93,@BBCWorld
93,0.0,Thu Sep 06 14:23:39 +0000 2018,".@TOMFORD kicks off New York Fashion Week #NYFW

https://t.co/sQAwtp8e2l",1.0,0.0,0.0,94,@BBCWorld
94,-0.4215,Thu Sep 06 14:18:56 +0000 2018,Cécile Djunga: Belgian forecaster hits out at race insults https://t.co/SYQAXbv8QF,0.763,0.237,0.0,95,@BBCWorld
95,-0.4215,Thu Sep 06 13:09:14 +0000 2018,Mike Pence denies he wrote 'gutless' anonymous editorial #NYTimesOpEd https://t.co/hVf3XlYTQo,0.763,0.237,0.0,96,@BBCWorld
96,0.0,Thu Sep 06 12:57:04 +0000 2018,"RT @BBCSport: Osi Umenyiora says Colin Kaepernick will go down in history alongside Muhammad Ali for taking a stand over his beliefs.

http…",1.0,0.0,0.0,97,@BBCWorld
97,0.6249,Thu Sep 06 12:41:03 +0000 2018,"Joy in India after landmark ruling legalises gay sex #Section377

https://t.co/DplZvumVhS",0.638,0.0,0.362,98,@BBCWorld
98,0.0,Thu Sep 06 12:27:47 +0000 2018,Trump 'resistance' op-ed: Does it pass the anonymity test? https://t.co/xUq23vyN56,1.0,0.0,0.0,99,@BBCWorld
99,0.0,Thu Sep 06 11:42:36 +0000 2018,India gay sex ruling: Twitter responds to abolition of #Section377 https://t.co/EsfiwkXnYW,1.0,0.0,0.0,100,@BBCWorld
100,0.0772,Sun Sep 09 03:30:13 +0000 2018,"Whitney Austin was shot 12 times as she walked to work. She lived, thanks to emergency workers… https://t.co/iSVPJmCNkZ",0.744,0.121,0.135,1,@CNN
101,-0.7717,Sun Sep 09 03:13:52 +0000 2018,A Dallas police officer shot and killed a man after mistakenly entering his apartment at the complex where she also… https://t.co/VtAO1OVtoO,0.717,0.283,0.0,2,@CNN
102,0.0,Sun Sep 09 03:00:16 +0000 2018,"Archaeologists believe they have unearthed one of Egypt's oldest-known settlements in the Nile Delta, dating back s… https://t.co/zNtw8XmPWE",1.0,0.0,0.0,3,@CNN
103,0.4215,Sun Sep 09 02:30:11 +0000 2018,This California nurse discovered that her colleague was a patient she cared for as a baby 28 years ago… https://t.co/cxLLSuyo0l,0.859,0.0,0.141,4,@CNN
104,0.34,Sun Sep 09 02:00:20 +0000 2018,A Chinese kindergarten welcomed children back to school at the beginning of term with a pole dancing display https://t.co/hxVy5k00U6,0.87,0.0,0.13,5,@CNN
105,-0.4019,Sun Sep 09 01:30:15 +0000 2018,Behind the glamour of the Miss America pageant lies discord and division https://t.co/aaLVFTs7IA https://t.co/JwfVCX6kRf,0.488,0.346,0.166,6,@CNN
106,0.0,Sun Sep 09 01:00:07 +0000 2018,Letter suggests Vatican knew of sexual misconduct allegations against former Cardinal Theodore McCarrick in 2000… https://t.co/3uARKeDRZp,1.0,0.0,0.0,7,@CNN
107,0.0,Sun Sep 09 00:45:00 +0000 2018,A high school student who made faces during President Trump's rally in Montana says he thinks he was removed from t… https://t.co/XXWsRbSNEi,1.0,0.0,0.0,8,@CNN
108,0.0,Sun Sep 09 00:30:13 +0000 2018,"Secretary of State Mike Pompeo has received a letter from North Korean leader Kim Jong Un to President Trump, accor… https://t.co/Zb65tZTXwz",1.0,0.0,0.0,9,@CNN
109,0.5216,Sun Sep 09 00:15:04 +0000 2018,Chicago bishop who didn't report child abuse allegations to police is living on archdiocese property… https://t.co/XgJs0lDRBG,0.817,0.0,0.183,10,@CNN
110,0.0,Sun Sep 09 00:00:22 +0000 2018,"Breaking hearts, Elton John kicks off final world tour https://t.co/2PvLzue2eq https://t.co/FBBFfsqIgA",1.0,0.0,0.0,11,@CNN
111,-0.2023,Sat Sep 08 23:45:06 +0000 2018,"President Trump, Republicans using impeachment threat as tool to motivate their base https://t.co/hR81HTIXYo https://t.co/7NCnW8Hvwx",0.667,0.189,0.144,12,@CNN
112,0.6597,Sat Sep 08 23:30:04 +0000 2018,"Democratic Senate hopes are alive, though precarious https://t.co/yPCppeoQYm | Analysis by Harry Enten https://t.co/fiEbeVZXUP",0.671,0.0,0.329,13,@CNN
113,-0.0772,Sat Sep 08 23:15:02 +0000 2018,"Mick Mulvaney, a top Trump administration official, warned behind closed doors that Republican candidates such as T… https://t.co/YjS8OpqwPG",0.794,0.111,0.095,14,@CNN
114,0.34,Sat Sep 08 23:00:10 +0000 2018,Why big food companies are giving money to startups https://t.co/JmSzLLRjvb https://t.co/LHTuemkTEb,0.806,0.0,0.194,15,@CNN
115,0.4005,Sat Sep 08 22:45:09 +0000 2018,Why Russian trolls may be more excited that the NFL is back than you are https://t.co/wuiihMBN0l https://t.co/Z1RwgE86pU,0.856,0.0,0.144,16,@CNN
116,0.5574,Sat Sep 08 22:30:12 +0000 2018,What we learned about Judge Brett Kavanaugh's future on the Supreme Court from his hearing https://t.co/knvX2kF1hA https://t.co/mckLbMFiyU,0.816,0.0,0.184,17,@CNN
117,-0.6486,Sat Sep 08 22:15:09 +0000 2018,California man who allegedly stuck his dates with the check faces years in prison https://t.co/RpgWuVzh8Q https://t.co/gchr7psWmg,0.725,0.275,0.0,18,@CNN
118,0.6249,Sat Sep 08 22:10:54 +0000 2018,"BREAKING: Japan's Naomi Osaka has won her first grand slam title at the US Open. She beat Serena Williams, who was… https://t.co/RDmyTdX5KW",0.671,0.092,0.237,19,@CNN
119,0.0,Sat Sep 08 22:00:10 +0000 2018,New York gubernatorial candidate Cynthia Nixon makes final pitch to progressives in NY governor primary… https://t.co/XmDW8iG6iI,1.0,0.0,0.0,20,@CNN
120,0.0258,Sat Sep 08 21:55:16 +0000 2018,Rappers Nicki Minaj and Cardi B get into fight at New York Fashion Week party https://t.co/3JJYtS4ojK (corrects lin… https://t.co/MMwL5vD1e8,0.751,0.122,0.127,21,@CNN
121,-0.0258,Sat Sep 08 21:45:03 +0000 2018,"Airstrikes hit Syria's Idlib province, the last remaining rebel stronghold https://t.co/mPmHZbo6z5 https://t.co/kL2DsjvpiR",0.763,0.122,0.115,22,@CNN
122,-0.296,Sat Sep 08 21:30:10 +0000 2018,Russian accused of hacking the data of 80 million people extradited to US https://t.co/TdGhogbPh6 https://t.co/IPgMFSCUQj,0.864,0.136,0.0,23,@CNN
123,0.25,Sat Sep 08 21:15:08 +0000 2018,"Bill Daily, witty sidekick on ""I Dream of Jeannie,"" dies at 91 https://t.co/MEJ8yi0tGS https://t.co/YvvW8dLQqD",0.867,0.0,0.133,24,@CNN
124,0.0,Sat Sep 08 21:00:11 +0000 2018,Novak Djokovic cruises to his eighth US Open men's final https://t.co/Qx3zaMzFQh https://t.co/OC8ZvHfzO6,1.0,0.0,0.0,25,@CNN
125,0.0,Sat Sep 08 20:45:08 +0000 2018,The onetime mistress of former deputy Republican National Committee Finance Chairman Elliott Broidy alleges in newl… https://t.co/eOumrTNAv9,1.0,0.0,0.0,26,@CNN
126,0.0,Sat Sep 08 20:30:12 +0000 2018,Another frontier for the US-Russian rivalry — outer space https://t.co/7okQUakxph https://t.co/K5TFAPJ1IU,1.0,0.0,0.0,27,@CNN
127,-0.296,Sat Sep 08 20:15:04 +0000 2018,Government erred in claiming accused Russian spy Maria Butina offered to trade sex for political access… https://t.co/wRgm4GL2oe,0.879,0.121,0.0,28,@CNN
128,0.0,Sat Sep 08 20:00:06 +0000 2018,A high school student who made faces during President Trump's rally in Montana says he thinks he was removed from t… https://t.co/kRJecQtcqq,1.0,0.0,0.0,29,@CNN
129,0.7269,Sat Sep 08 19:45:00 +0000 2018,"""The good news is, in two months we have the chance to restore some sanity in our politics."" At a campaign rally in… https://t.co/hpBMKlIqFX",0.738,0.0,0.262,30,@CNN
130,0.0,Sat Sep 08 19:30:06 +0000 2018,"We're in Anaheim, California, where former President Barack Obama is headlining his first rally of the 2018 midterm… https://t.co/P9xQwCSoUO",1.0,0.0,0.0,31,@CNN
131,0.0,Sat Sep 08 19:15:06 +0000 2018,Serena Williams' husband posts video of her long post-baby journey back to the US Open https://t.co/HuBOPVwuvO https://t.co/JufQuc2o5w,1.0,0.0,0.0,32,@CNN
132,-0.8271,Sat Sep 08 19:00:08 +0000 2018,A teen who spent his free time speaking out against gun violence has been shot and killed in Chicago… https://t.co/Nt2F6PGn76,0.512,0.375,0.113,33,@CNN
133,0.1779,Sat Sep 08 18:45:07 +0000 2018,"As Sweden flirts with the far right, Europe holds its breath https://t.co/m4pw0pwZkq https://t.co/xptULJI6KU",0.876,0.0,0.124,34,@CNN
134,-0.4767,Sat Sep 08 18:30:12 +0000 2018,Why counting calories in a restaurant could be dangerous https://t.co/zcaXCC34aK (via @CNNOpinion) https://t.co/njChUlsHfG,0.78,0.22,0.0,35,@CNN
135,-0.2023,Sat Sep 08 18:15:03 +0000 2018,An Egyptian court has upheld death sentences against 75 Muslim Brotherhood members and supporters for their partici… https://t.co/H48RYQksd4,0.652,0.17,0.178,36,@CNN
136,0.5106,Sat Sep 08 18:00:12 +0000 2018,"Attitudes to free speech are changing, and Steve Bannon has something to do with it https://t.co/TvapvQUALN https://t.co/2pwhmKrwmH",0.829,0.0,0.171,37,@CNN
137,0.0,Sat Sep 08 17:45:06 +0000 2018,Settle in with these weekend reads https://t.co/ujvvKWcWsB https://t.co/1rzIVlkm3u,1.0,0.0,0.0,38,@CNN
138,0.4019,Sat Sep 08 17:30:08 +0000 2018,"""We just want them to be proud."" Marjory Stoneman Douglas football team played their first home game since 17 were… https://t.co/7XImiu6f1j",0.837,0.0,0.163,39,@CNN
139,0.0,Sat Sep 08 17:15:07 +0000 2018,US officials secretly met with Venezuelan military officers plotting a coup against President Nicolas Maduro… https://t.co/IVVUeVpfwx,1.0,0.0,0.0,40,@CNN
